;=== Device hardware specification - Magnetic field coils, vacuum vessel, plates
;===
;=== KSTAR June 15, 2006
;===========================
;===
;=== S.A. Sabbagh, Y.S. Park
;=== Vessel and plate data from KSTAR drawings
;===
;=== Note: IDL reads the file using whitespace as delimiters
;===
;=== UPDATES:
;===
;=== 08/15/10: Regroup vessel segments from 60 to 12 groups : Y.S. Park 
;===
;=== 07/23/10: Regroup vessel segments to 60 groups for better description of port penetrations : Y.S. Park
;===
;=== 07/14/10: Use the previous 6 vessel groups with fixed turns (Av1.1) and apply small changes to PF1~4 Z-locations : Y.S. Park
;===
;=== 06/22/10: Regroup vessel segments to 13 groups for better FL mapping : Y.S. Park
;===
;=== 06/21/10: Regroup vessel segments to 14 groups : Y.S. Park
;===
;=== 06/10/10: Regroup vessel segments to 12 groups : Y.S. Park
;===
;=== 06/09/10: Regroup vessel segments to 28 groups : Y.S. Park
;===
;=== 06/08/10: Use the previous 56 full vessel element model : Y.S. Park
;===
;=== 05/25/10: Fix the turn number of the grouped vessel elements : Y.S. Park
;===
;=== 11/17/09: Grouping VV elements into 6 groups : Y.S. Park
;===           (See: devKSTAR_vv56.jpg for previous 56 VV elements with group ID)   
;===
;=== 08/31/08: Initial specs for first plasma reconstructions: S.A. Sabbagh
;===
;===   (1) each physical vessel segment carrys independent current
;===   (2) planned plates and other conducting structure that don't exist yet taken out of model
;===       (14 shaping coils; 56 vessel segments)
;===
;=== 06/15/06: Initial specifications: S.A. Sabbagh
;===
;===       Specs are taken from three independent sources. PF coil information is recent (2006) from
;===   Kwang-Il You (kiyou@nfrc.re.kr) of KSTAR and Hyeon Park. The vessel and plate specs are taken
;===   from recent (2006) drawings of KSTAR.
;===
;=====================
;=== Pos Array mapping:
;===
;===              pos(0)    pos(1)    pos(2)    pos(3)    pos(4)    pos(5)    pos(6)  pos(7)
;==============================================================================================================
;     Assem Group
;Name  Type  ID   Rc(m)     Zc(m)     wc(m)     hc(m)     ac(Deg)   ac2(Deg)  turns   Div  Material Description
;==============================================================================================================
;==============================================================================================================
;
;
;=== Assembly 'OH': Ohmic Coil:
;=============================
;     Assem Group
;Name  Type  ID   Rc(m)     Zc(m)     wc(m)     hc(m)     ac(Deg)   ac2(Deg)  turns   Div  Material Description
;==========================================================================================================
;
;
;=== Assembly 'SC': Shaping Coils:
;================================
;     Assem Group
;Name  Type  ID   Rc(m)     Zc(m)     wc(m)     hc(m)     ac(Deg)   ac2(Deg)  turns   Div  Material Description
;==========================================================================================================
 PF1U    SC   1  0.5700    0.2578    0.2153    0.4784     0.0000     0.0000  180.0     1   Nb3Sn   ;CS shaping coil 1U
 PF2U    SC   2  0.5700    0.7253    0.2153    0.3827     0.0000     0.0000  144.0     1   Nb3Sn   ;CS shaping coil 2U
 PF3U    SC   3  0.5700    1.0488    0.2153    0.1914     0.0000     0.0000   72.0     1   Nb3Sn   ;CS shaping coil 3U
 PF4U    SC   4  0.5700    1.3242    0.2153    0.2870     0.0000     0.0000  108.0     1   Nb3Sn   ;CS shaping coil 4U
 PF5U    SC   5  1.0730    2.2950    0.3110    0.3827     0.0000     0.0000  208.0     1   Nb3Sn   ;Divertor shaping coil 5U
 PF6U    SC   6  3.0900    1.9200    0.1914    0.3827     0.0000     0.0000  128.0     1   NbTi    ;EF shaping coil 6U
 PF7U    SC   7  3.7300    0.9800    0.1435    0.2870     0.0000     0.0000   72.0     1   NbTi    ;EF shaping coil 7U
 PF7L    SC   8  3.7300   -0.9800    0.1435    0.2870     0.0000     0.0000   72.0     1   NbTi    ;EF shaping coil 7L
 PF6L    SC   9  3.0900   -1.9200    0.1914    0.3827     0.0000     0.0000  128.0     1   NbTi    ;EF shaping coil 6L
 PF5L    SC  10  1.0730   -2.2950    0.3110    0.3827     0.0000     0.0000  208.0     1   Nb3Sn   ;Divertor shaping coil 5L
 PF4L    SC  11  0.5700   -1.3242    0.2153    0.2870     0.0000     0.0000  108.0     1   Nb3Sn   ;CS shaping coil 4L
 PF3L    SC  12  0.5700   -1.0488    0.2153    0.1914     0.0000     0.0000   72.0     1   Nb3Sn   ;CS shaping coil 3L
 PF2L    SC  13  0.5700   -0.7253    0.2153    0.3827     0.0000     0.0000  144.0     1   Nb3Sn   ;CS shaping coil 2L
 PF1L    SC  14  0.5700   -0.2578    0.2153    0.4784     0.0000     0.0000  180.0     1   Nb3Sn   ;CS shaping coil 1L
;
;
;=== Assembly 'VV': Vacuum vessel:
;================================
;     Assem Group
;Name  Type  ID   Rc(m)     Zc(m)     wc(m)     hc(m)     ac(Deg)   ac2(Deg)  turns   Div  Material Description
;==========================================================================================================
 VOCS1U  VV   1  1.11600   0.18358   0.01200   0.36717    0.0000    0.0000    0.2500   1    SS316LN ;Outer upper vessel segments
 VOCS2U  VV   1  1.11600   0.55075   0.01200   0.36717    0.0000    0.0000    0.2500   1    SS316LN ;
 VOCS3U  VV   2  1.11600   0.91792   0.01200   0.36717    0.0000    0.0000    0.1667   1    SS316LN ;
 VOD4U   VV   2  1.12598   1.17733   0.01210   0.15167    0.0000   82.5000    0.1667   1    SS316LN ;
 VOD5U   VV   2  1.16524   1.32383   0.05854   0.03136   67.5000    0.0000    0.1667   1    SS316LN ;
 VOD6U   VV   3  1.30175   1.50175   0.21449   0.01697   45.0000    0.0000    0.2500   1    SS316LN ;
 VOD7U   VV   3  1.47950   1.63490   0.14100   0.01278 	 20.1363    0.0000    0.2500   1    SS316LN ;
 VOD8U   VV   4  1.62600   1.67410   0.15200   0.01219   10.0000    0.0000    0.2500   1    SS316LN ;
 VOD9U   VV   4  1.92600   1.64032   0.44800   0.01226  -11.8935    0.0000    0.2500   1    SS316LN ;
 VOD10U  VV   5  2.35354   1.47656   0.40708   0.01385  -29.9720    0.0000    0.1250   1    SS316LN ;
